C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Al,Mg,CE,Sug. C in Kg,Sug. Si in Kg,Sug Mn in Kg,Sug. P in Kg,Sug. S in Kg,Sug. Cr in Kg,Sug. Cu in Kg,Sug. Fe in Kg
,01-03-2022 16:46,16(31A22),Item Not Found,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.244,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:06,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.244,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:07,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,3.244,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,3.61,,3.71,0.58,1.13,1.2,2.81,
,01-03-2022 17:20,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.244,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:21,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.244,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:22,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:22,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,2.9,,3.71,0.58,1.13,1.2,2.26,
**,01-03-2022 17:23,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,3.5,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,1.79,,3.71,0.58,1.13,1.2,1.39,
,01-03-2022 17:26,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:26,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:37,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:37,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:38,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:38,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:40,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:45,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:45,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:47,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
