C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Mo,Ni,Al,Co,Cu,CE,Sug.C in Kg,Sug.Si in Kg,Sug.Mn in Kg,Sug.Ni in Kg,Sug.Sn in Kg,Sug.Cr in Kg,Sug.Cu in Kg,Sug.Scr. in Kg,
,19-10-2022 17:29:03,168,Item Not Found,Select Batch,Bath,500,C,Select Steel Values,SGI,3.340,3.030,0.305,0.034,0.004,0.025,0.478,0.011,0.005,0.002,0.011,4.384,,,,,,,,,
,19-10-2022 17:32:35,168,Item Not Found,Select Batch,Bath,500,C,Select Steel Values,SGI,3.340,3.030,0.305,0.034,0.004,0.025,0.478,0.011,0.005,0.002,0.011,4.384,,,,,,,,,
,19-10-2022 17:34:46,168,Item Not Found,Select Batch,Bath,500,C,Select Steel Values,SGI,3.340,3.030,0.305,0.034,0.004,0.025,0.478,0.011,0.005,0.002,0.011,4.384,,,,,,,,,
,19-10-2022 17:35:16,168,Item Not Found,Select Batch,Bath,500,C,Select Steel Values,SGI,3.340,3.030,0.305,0.034,0.004,0.025,0.478,0.011,0.005,0.002,0.011,4.384,,,,,,,,,
,19-10-2022 17:36:20,168,BM DI FFUSER-F,Select Batch,Bath,500,C,Select Steel Values,SGI,<3.340,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,4.384,,,,,,,,,
,19-10-2022 17:37:28,168,BM DI FFUSER-B,Select Batch,Bath,500,C,Select Steel Values,SGI,<3.340,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,4.384,,,,,,,,,
,19-10-2022 17:37:42,168,Item Not Found,Select Batch,Bath,500,C,Select Steel Values,SGI,3.340,3.030,0.305,0.034,0.004,0.025,0.478,0.011,0.005,0.002,0.011,4.384,,,,,,,,,
,19-10-2022 17:37:59,168,Item Not Found,Select Batch,Bath,500,C,Select Steel Values,SGI,3.340,3.030,0.305,0.034,0.004,0.025,0.478,0.011,0.005,0.002,0.011,4.384,,,,,,,,,
,19-10-2022 17:40:05,168,BM DI FFUSER-B,Select Batch,Bath,500,C,Select Steel Values,SGI,<3.340,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,4.384,,,,,,,,,
,19-10-2022 17:40:50,168,BM DI FFUSER-B,Select Batch,Bath,500,C,Select Steel Values,SGI,<3.340,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,4.384,,,,,,,,,
,19-10-2022 17:45:38,168,BM DI FFUSER-B,Select Batch,Bath,500,C,Select Steel Values,SGI,<3.340,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,4.384,,,,,,,,,
,19-10-2022 17:47:00,168,BM DI FFUSER-B,Select Batch,Bath,500,C,Select Steel Values,SGI,<3.340,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,4.384,,,,,,,,,
**,19-10-2022 17:47:06,168,Item Not Found,Select Batch,Bath,500,C,Select Steel Values,SGI,3.340,3.030,0.305,0.034,0.004,0.025,0.478,0.011,0.005,0.002,0.011,4.384,,,,,,,,,
,19-10-2022 17:47:14,168,Item Not Found,Select Batch,Bath,500,C,Select Steel Values,SGI,3.340,3.030,0.305,0.034,0.004,0.025,0.478,0.011,0.005,0.002,0.011,4.384,,,,,,,,,
,19-10-2022 17:47:19,168,Item Not Found,Select Batch,Bath,500,C,Select Steel Values,SGI,3.340,3.030,0.305,0.034,0.004,0.025,0.478,0.011,0.005,0.002,0.011,4.384,,,,,,,,,
,19-10-2022 17:49:47,168,Item Not Found,Select Batch,Bath,500,C,Select Steel Values,SGI,3.340,3.030,0.305,0.034,0.004,0.025,0.478,0.011,0.005,0.002,0.011,4.384,,,,,,,,,
,19-10-2022 17:50:49,168,BM DI FFUSER-B,Select Batch,Bath,500,C,Select Steel Values,SGI,<3.340,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,4.384,,,,,,,,,
,19-10-2022 17:50:55,168,Item Not Found,Select Batch,Bath,500,C,Select Steel Values,SGI,3.340,3.030,0.305,0.034,0.004,0.025,0.478,0.011,0.005,0.002,0.011,4.384,,,,,,,,,
,19-10-2022 17:53:17,168,BM DI FFUSER-B,Select Batch,Bath,500,C,Select Steel Values,SGI,<3.340,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,4.384,,,,,,,,,
,19-10-2022 17:53:20,168,BM DI FFUSER-B,Select Batch,Bath,500,C,Select Steel Values,SGI,<3.340,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,4.384,,,,,,,,,
**,19-10-2022 17:53:24,168,BM DI FFUSER-B,Select Batch,Bath,500,C,Select Steel Values,SGI,<3.340,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,4.384,,,,,,,,,
**,19-10-2022 17:53:29,168,BM DI FFUSER-B,Select Batch,Bath,500,C,Select Steel Values,SGI,<3.340,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,4.384,,,,,,,,,
**,19-10-2022 17:53:58,168,BM DI FFUSER-B,Select Batch,Bath,500,C,Select Steel Values,SGI,<3.340,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,4.384,,,,,,,,,
,19-10-2022 17:57:41,168,BM DI FFUSER-B,Select Batch,Bath,500,C,Select Steel Values,SGI,<3.340,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,4.384,,,,,,,,,
**,19-10-2022 17:57:45,168,BM DI FFUSER-B,Select Batch,Bath,500,C,Select Steel Values,SGI,<4,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,5.044,,,,,,,,,
,19-10-2022 17:59:31,168,BM DI FFUSER-B,Select Batch,Bath,500,C,Select Steel Values,SGI,<3.340,>3.030,<0.305,<0.034,<0.004,<0.025,0.478,>0.011,>0.005,>0.002,<0.011,4.384,,,,,,,,,
