C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,S,P,Cr,Cu,Ni,Sn,Mg,,,,,,CE,Sug.C in Kg,Sug.Si in Kg,Sug.Mn in Kg,Sug.S in Kg,Sug.P in Kg,Sug.Cr in Kg,Sug.Cu in Kg,Sug.Ni in Kg,Sug.Sn in Kg,Sug.Mg in Kg,Sug. in Kg,
,05-01-2023 10:09:43,324,Item Not Found,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.760,1.670,0.604,0.077,0.099,0.256,0.105,0.050,0.023,0.002,,,,,,4.394,,,,,,,,,,,,
,05-01-2023 10:10:51,324,Item Not Found,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.760,1.670,0.604,0.077,0.099,0.256,0.105,0.050,0.023,0.002,,,,,,4.394,,,,,,,,,,,,
,05-01-2023 11:18:02,324,Item Not Found,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.760,1.670,0.604,0.077,0.099,0.256,0.105,0.050,0.023,0.002,,,,,,4.394,,,,,,,,,,,,
,05-01-2023 13:31:14,,Item Not Found,Select Batch,Bath,500,LB,Select Steel Values,   cast iron -  F     ,3.760,1.670,0.604,0.077,0.099,0.256,0.105,0.050,0.023,0.002,,,,,,4.394,,,,,,,,,,,,
,05-01-2023 13:32:15,,Item Not Found,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.760,1.670,0.604,0.077,0.099,0.256,0.105,0.050,0.023,0.002,,,,,,4.394,,,,,,,,,,,,
,05-01-2023 13:33:44,,Item Not Found,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.760,1.670,0.604,0.077,0.099,0.256,0.105,0.050,0.023,0.002,,,,,,4.394,,,,,,,,,,,,
,05-01-2023 13:34:13,,HA7150-B,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.760,<1.670,<0.604,<0.077,<0.099,<0.256,>0.105,0.050,>0.023,<0.002,,,,,,4.394,,,,,,,,,,,,
,05-01-2023 13:34:38,,HA7150-F,Select Batch,Final,500,B,Select Steel Values,   cast iron -  F     ,3.760,<1.670,<0.604,<0.077,<0.099,0.256,0.105,<0.050,>0.023,<0.002,,,,,,4.394,,,,,,,,,,,,
,05-01-2023 13:34:58,,HA7150-B,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.760,<1.670,<0.604,<0.077,<0.099,<0.256,>0.105,0.050,>0.023,<0.002,,,,,,4.394,,,,,,,,,,,,
,07-01-2023 10:40:23,,HA7150-B,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.760,<1.670,<0.604,<0.077,<0.099,<0.256,>0.105,0.050,>0.023,<0.002,,,,,,4.394,,,,,,,,,,,,
,07-01-2023 10:41:53,,HA7150-B,CI-CPC,Bath,500,B,3TB110,   cast iron -  F     ,3.760,<1.670,<0.604,<0.077,<0.099,<0.256,>0.105,0.050,>0.023,<0.002,,,,,,4.394,0.00,17.92,4.97,2.03,0.59,0.78,0.00,0.00,0.00,Infinity,,
,07-01-2023 11:04:01,,HA7150-B,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.760,<1.670,<0.604,<0.077,<0.099,<0.256,>0.105,0.050,>0.023,<0.002,,,,,,4.394,,,,,,,,,,,,
,07-01-2023 11:09:00,,HA7150-B,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.760,<1.670,<0.604,<0.077,<0.099,<0.256,>0.105,0.050,>0.023,<0.002,,,,,,4.394,,,,,,,,,,,,
,13-01-2023 11:28:22,,HA7150-B,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.760,<1.670,<0.604,<0.077,<0.099,<0.256,>0.105,0.050,>0.023,<0.002,,,,,,4.394,,,,,,,,,,,,
