C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Mo,Ni,Al,Cu,Mg,Zn,,,,,,,,CE,Sug.C in Kg,Sug.Si in Kg,Sug.Mn in Kg,Sug.S in Kg,Sug.Cu in Kg,Sug.Cr in Kg,Sug.Mo in Kg,Sug.Scr. in Kg,
,10-03-2023 19:08:52,C65,Item Not Found,Select Batch,Final,500,,Select Steel Values,GGG40,4.0500,1.7600,0.3220,0.0314,0.0153,0.0227,0.0010,0.0122,0.0005,0.0142,0.0035,0.0010,,,,,,,,4.6681,,,,,,,,,
,10-03-2023 19:09:46,C65,3213-F,Select Batch,Final,500,,Select Steel Values,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,<0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,,,,,,,,,
,10-03-2023 19:09:49,C65,3213-F,CI-CPC,Final,500,,3TB110,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,<0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,0,11.695,5.442,1.789,0.000,1.894,Infinity,37.037,
,10-03-2023 19:12:02,C65,3213-F,Select Batch,Final,500,,Select Steel Values,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,<0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,,,,,,,,,
,10-03-2023 19:13:02,C65,3213-B,Select Batch,Bath,500,BATH,Select Steel Values,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,,,,,,,,,
,10-03-2023 19:13:17,C65,3213-B,Select Batch,Bath,500,BATH,Select Steel Values,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,,,,,,,,,
,10-03-2023 19:13:27,C65,3213-B,Select Batch,Bath,500,BATH,Select Steel Values,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,,,,,,,,,
,10-03-2023 19:15:10,C65,3213-F,Select Batch,Final,500,,Select Steel Values,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,<0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,,,,,,,,,
,10-03-2023 19:15:35,C65,3213-B,Select Batch,Bath,500,BATH,Select Steel Values,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,,,,,,,,,
,10-03-2023 19:15:50,C65,3213-B,Select Batch,Bath,500,BATH,Select Steel Values,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,,,,,,,,,
,10-03-2023 19:16:24,C65,3213-F,Select Batch,Final,500,FINAL,Select Steel Values,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,<0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,,,,,,,,,
,10-03-2023 19:16:39,C65,3213-B,Select Batch,Bath,500,BATH,Select Steel Values,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,,,,,,,,,
,10-03-2023 19:17:35,C65,3213-B,CI-CPC,Bath,500,BATH,3TB110,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,0,18.234,7.317,2.539,0.000,2.728,Infinity,37.037,
,11-03-2023 12:01:41,C65,3213-B,Select Batch,Bath,500,BATH,Select Steel Values,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,,,,,,,,,
,11-03-2023 12:07:58,C65,3213-B,CI-CPC,Bath,500,BATH,3TB110,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,0,18.234,7.317,2.539,0.000,2.728,Infinity,37.037,
,11-03-2023 12:08:27,C65,3213-B,CI-CPC,Bath,500,BATH,3TB110,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,0,18.234,7.317,2.539,0.000,2.728,Infinity,37.037,
,11-03-2023 12:23:21,C65,3213-B,Select Batch,Bath,500,BATH,Select Steel Values,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,,,,,,,,,
,11-03-2023 12:24:30,C65,3213-B,Select Batch,Bath,500,BATH,Select Steel Values,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,,,,,,,,,
,11-03-2023 17:32:16,C65,3213-B,Select Batch,Bath,500,BATH,Select Steel Values,GGG40,>4.0500,<1.7600,<0.3220,<0.0314,<0.0153,<0.0227,<0.0010,0.0122,>0.0005,0.0142,<0.0035,>0.0010,,,,,,,,4.6681,,,,,,,,,
,11-03-2023 17:33:36,J,Item Not Found,Select Batch,Final,500,FINAL,Select Steel Values,DPC61,3.9800,1.8500,0.3810,0.0269,0.0102,0.0272,0.0012,0.0125,0.0011,0.0277,0.0038,0.0010,,,,,,,,4.6236,,,,,,,,,
,11-03-2023 17:51:44,JDPC61,Item Not Found,Select Batch,Final,500,FINAL,Select Steel Values,GG25,3.9800,1.8500,0.3810,0.0269,0.0102,0.0272,0.0012,0.0125,0.0011,0.0277,0.0038,0.0010,,,,,,,,4.6236,,,,,,,,,
,11-03-2023 17:54:14,JDPC61,Item Not Found,Select Batch,Final,500,FINAL,Select Steel Values,GG25,3.9800,1.8500,0.3810,0.0269,0.0102,0.0272,0.0012,0.0125,0.0011,0.0277,0.0038,0.0010,,,,,,,,4.6236,,,,,,,,,
,11-03-2023 17:55:45,JDPC61,Item Not Found,Select Batch,Final,500,FINAL,Select Steel Values,GG25,3.9800,1.8500,0.3810,0.0269,0.0102,0.0272,0.0012,0.0125,0.0011,0.0277,0.0038,0.0010,,,,,,,,4.6236,,,,,,,,,
,11-03-2023 17:58:21,JDPC61,Item Not Found,Select Batch,Final,500,FINAL,Select Steel Values,GG25,3.9800,1.8500,0.3810,0.0269,0.0102,0.0272,0.0012,0.0125,0.0011,0.0277,0.0038,0.0010,,,,,,,,4.6236,,,,,,,,,
,11-03-2023 18:03:29,J DPC61,Item Not Found,Select Batch,Final,500,FINAL,Select Steel Values,GG25,3.9800,1.8500,0.3810,0.0269,0.0102,0.0272,0.0012,0.0125,0.0011,0.0277,0.0038,0.0010,,,,,,,,4.6236,,,,,,,,,
,11-03-2023 18:04:29,J  DPC61,Item Not Found,Select Batch,Final,500,FINAL,Select Steel Values,GG25,3.9800,1.8500,0.3810,0.0269,0.0102,0.0272,0.0012,0.0125,0.0011,0.0277,0.0038,0.0010,,,,,,,,4.6236,,,,,,,,,
