C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Al,Mg,CE,Sug. C in Kg,Sug. Si in Kg,Sug Mn in Kg,Sug. P in Kg,Sug. S in Kg,Sug. Cr in Kg,Sug. Cu in Kg,Sug. Fe in Kg,
,02-04-2022 12:18:07,16(31A22),Item Not Found,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,02-04-2022 12:18:24,16(31A22),Item Not Found,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,02-04-2022 12:19:35,16(31A22),Item Not Found,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,02-04-2022 12:22:56,16(31A22),Item Not Found,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,04-04-2022 10:37:24,16(31A22),Item Not Found,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,04-04-2022 11:18:09,16(31A22),Item Not Found,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,04-04-2022 11:18:42,16(31A22),Item Not Found,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,04-04-2022 11:54:27,16(31A22),Item Not Found,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,04-04-2022 12:01:18,16(31A22),Item Not Found,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.021,0.012,0.054,4.036,,,,,,,,,
,04-04-2022 12:01:52,16(31A22),Item Not Found,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.021,0.012,0.054,4.036,,,,,,,,,
,05-04-2022 11:20:34,16(31A22),Item Not Found,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.021,0.012,0.054,4.036,,,,,,,,,
,05-04-2022 11:26:30,16(31A22),Item Not Found,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.021,0.012,0.054,4.036,,,,,,,,,
,05-04-2022 11:44:57,16(31A22),Item Not Found,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.021,0.012,0.054,4.036,,,,,,,,,
,05-04-2022 11:46:06,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.021,0.012,0.054,4.036,,,,,,,,,
,05-04-2022 11:46:46,16(31A22),ID343795,CI-CPC,Bath,500,,3TB110,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.021,0.012,0.054,4.036,,6.86,1.83,0.00,0.00,0.00,1.55,307.69,
,05-04-2022 11:46:51,16(31A22),ID343795,CI-CPC,Bath,500,,3TB110,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.021,0.012,0.054,4.036,,6.86,1.83,0.00,0.00,0.00,1.55,307.69,
,05-04-2022 11:47:35,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,05-04-2022 11:47:41,16(31A22),ID343795,CI-CPC,Bath,500,,3TB110,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,6.86,1.83,0.00,0.00,0.00,0.00,307.69,
,05-04-2022 11:48:18,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.021,0.012,0.054,4.036,,,,,,,,,
,05-04-2022 11:48:26,16(31A22),ID343795,CI-CPC,Bath,500,,3TB110,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.021,0.012,0.054,4.036,,6.86,1.83,0.00,0.00,0.00,1.55,307.69,
,05-04-2022 11:50:21,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.021,0.012,0.054,4.036,,,,,,,,,
,05-04-2022 11:57:37,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.021,0.012,0.054,0.017,4.036,,,,,,,,,
,05-04-2022 11:58:00,16(31A22),ID343795,CI-CPC,Bath,500,,3TB110,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.021,0.012,0.054,0.017,4.036,,6.86,1.83,0.00,0.00,0.00,1.55,307.69,
,05-04-2022 11:59:08,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,05-04-2022 12:00:38,16(31A22),ID343795,CI-CPC,Bath,500,,3TB110,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,6.86,1.83,0.00,0.00,0.00,1.55,307.69,
,05-04-2022 12:51:40,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,05-04-2022 12:51:42,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,05-04-2022 12:55:32,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,05-04-2022 12:56:25,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,05-04-2022 12:56:59,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,05-04-2022 12:57:01,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,05-04-2022 12:57:52,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,05-04-2022 13:05:44,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,06-04-2022 14:56:53,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,06-04-2022 14:59:38,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,06-04-2022 14:59:43,16(31A22),ID343795,CI-CPC,Bath,500,,3TB110,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,6.86,1.83,0.00,0.00,0.00,1.55,307.69,
,06-04-2022 15:02:07,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,06-04-2022 15:02:12,16(31A22),ID343795,CI-CPC,Bath,500,,3TB110,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,6.86,1.83,0.00,0.00,0.00,1.55,307.69,
,08-04-2022 11:07:57,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,9.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,08-04-2022 11:08:46,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,08-04-2022 11:08:55,16(31A22),ID343795,CI-CPC,Bath,500,,3TB110,SG400/15 ,3.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,0.04,,1.83,0.00,0.00,0.00,1.55,0.69,
,08-04-2022 11:12:52,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
