C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Al,Cu,Mg,CE,Sug. C in Kg,Sug. Si in Kg,Sug Mn in Kg,Sug. P in Kg,Sug. S in Kg,Sug. Cr in Kg,Sug. Cu in Kg,Sug. Fe in Kg,
,01-06-2022 14:48:43,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 14:50:39,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 14:54:00,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 14:57:40,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 14:58:19,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 14:58:24,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 15:06:22,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 15:06:39,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 15:07:28,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 15:08:50,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 15:12:09,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 15:18:29,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 15:20:56,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 15:24:36,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 15:43:25,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 15:43:47,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 15:45:04,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 15:47:02,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 15:52:57,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 16:07:26,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 16:08:11,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 16:08:31,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 16:15:19,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,01-06-2022 16:21:35,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
