C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Mo,Ni,Cu,Mg,Al,Sn,Ti,W,,,,,,CE,Sug.C in Kg,Sug.Si in Kg,Sug.Mn in Kg,Sug.P in Kg,Sug.S in Kg,Sug.Cr in Kg,Sug.Mo in Kg,Sug.Ni in Kg,Sug.Cu in Kg,Sug.Mg in Kg,Sug.Al in Kg,
,07-06-2024 14:51:30,397-F,Item Not Found,Select Batch,Final,500,FINAL,Select Steel Values,omkar,3.1600,2.0500,0.7780,0.0924,0.1140,0.1840,0.0144,0.0360,0.1990,0.0010,0.0021,0.0172,0.0271,0.0085,,,,,,3.9357,,,,,,,,,,,,
,07-06-2024 14:54:16,397-F,Item Not Found,Select Batch,Final,500,FINAL,Select Steel Values,omkar,3.1600,2.0500,0.7780,0.0924,0.1140,0.1840,0.0144,0.0360,0.1990,0.0010,0.0021,0.0172,0.0271,0.0085,,,,,,3.9357,,,,,,,,,,,,
,07-06-2024 15:52:57,Fe120Party:,Item Not Found,Select Batch,Final,500,,Select Steel Values,,3.2670,2.5130,0.3260,0.0000,0.0250,0.0000,0.0230,0.0000,0.0100,0.0000,0.0110,0.0048,0.0000,0.0000,,,,,,4.1047,,,,,,,,,,,,
,07-06-2024 15:58:53,Fe120Party:,Item Not Found,Select Batch,Final,500,,Select Steel Values,,3.2670,2.5130,0.3260,0.0000,0.0250,0.0000,0.0230,0.0000,0.0100,0.0000,0.0110,0.0048,0.0000,0.0000,,,,,,4.1047,,,,,,,,,,,,
,07-06-2024 16:00:07,Fe120Party:,Item Not Found,Select Batch,Final,500,,Select Steel Values,,3.2670,2.5130,0.3260,0.0000,0.0250,0.0000,0.0230,0.0000,0.0100,0.0000,0.0110,0.0048,0.0000,0.0000,,,,,,4.1047,,,,,,,,,,,,
,07-06-2024 16:01:36,Fe120Party:,Item Not Found,Select Batch,Final,500,,Select Steel Values,,3.2670,2.5130,0.3260,0.0000,0.0250,0.0000,0.0230,0.0000,0.0100,0.0000,0.0110,0.0048,0.0000,0.0000,,,,,,4.1047,,,,,,,,,,,,
,07-06-2024 16:23:37,Fe120Party:,Item Not Found,Select Batch,Final,500,,Select Steel Values,,3.2670,2.5130,0.3260,0.0000,0.0250,0.0230,0.0000,0.0110,0.0000,0.0094,0.0130,0.0000,0.0000,0.0048,,,,,,4.1047,,,,,,,,,,,,
,07-06-2024 16:39:49,Fe120Party:,Item Not Found,Select Batch,Final,500,,Select Steel Values,,3.2670,2.5130,0.3260,0.0000,0.0250,0.0230,0.0000,0.0110,0.0000,0.0094,0.0130,0.0000,0.0000,0.0048,,,,,,4.1047,,,,,,,,,,,,
,07-06-2024 16:45:37,Fe120Party:,Item Not Found,Select Batch,Final,500,,Select Steel Values,,3.2670,2.5130,0.3260,0.0000,0.0250,0.0230,0.0000,0.0110,0.0000,0.0094,0.0130,0.0000,0.0000,0.0048,,,,,,4.1047,,,,,,,,,,,,
,07-06-2024 16:49:05,Fe120Party:,Item Not Found,Select Batch,Final,500,,Select Steel Values,,3.2670,2.5130,0.3260,0.0000,0.0250,0.0230,0.0110,0.0130,0.0100,0.0420,0.0094,,,,,,,,,4.1047,,,,,,,,,,,,
,07-06-2024 16:52:39,Fe120Party:,Item Not Found,Select Batch,Final,500,,Select Steel Values,,3.2670,2.5130,0.3260,0.0000,0.0250,0.0230,0.0110,0.0130,0.0100,0.0420,0.0094,,,,,,,,,4.1047,,,,,,,,,,,,
