C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Cu,Mg,Sn,Al,CE,Sug.C in Kg,Sug.Si in Kg,Sug.Mn in Kg,Sug.Ni in Kg,Sug.Sn in Kg,Sug.Cr in Kg,Sug.Cu in Kg,Sug.Scr. in Kg,
,08-08-2022 17:26:20,03 08 H  22,Item Not Found,Select Batch,Final,500,CI-200-F,Select Steel Values,CI-200,3.590,2.380,0.225,0.011,0.011,0.013,0.005,0.015,0.040,0.005,0.005,4.394,,,,,,,,,
,15-08-2022 16:59:34,03 08 H  22,Item Not Found,Select Batch,Final,500,CI-200-F,Select Steel Values,CI-200,3.590,2.380,0.225,0.011,0.011,0.013,0.005,0.015,0.040,0.005,0.005,4.394,,,,,,,,,
,15-08-2022 17:04:45,03 08 H  22,Item Not Found,Select Batch,Final,500,CI-200-F,Select Steel Values,CI-200,3.590,2.380,0.225,0.011,0.011,0.013,0.005,0.015,0.040,0.005,0.005,4.394,,,,,,,,,
,15-08-2022 17:06:22,03 08 H  22,Item Not Found,Select Batch,Final,500,CI-200-F,Select Steel Values,CI-200,3.590,2.380,0.225,0.011,0.011,0.013,0.005,0.015,0.040,0.005,0.005,4.394,,,,,,,,,
,15-08-2022 17:08:52,03 08 H  22,CI-200-F,Select Batch,Final,500,CI-200-F,Select Steel Values,CI-200,<3.590,>2.380,<0.225,<0.011,<0.011,<0.013,>0.005,<0.015,<0.040,>0.005,>0.005,4.394,,,,,,,,,
,15-08-2022 17:22:46,,CI-200-F,Select Batch,Final,500,,Select Steel Values,,<3.590,>2.380,<0.225,<0.011,<0.011,<0.013,>0.005,<0.015,<0.040,>0.005,>0.005,4.394,,,,,,,,,
,15-08-2022 17:25:11,,CI-200-B,Select Batch,Final,500,,Select Steel Values,,<3.250,<2.120,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.012,,,,,,,,,
,15-08-2022 17:32:11,06 14 H 22,CI-200-B,Select Batch,Final,500,,Select Steel Values,CI-260,<3.250,<2.120,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.012,,,,,,,,,
,15-08-2022 17:52:42,CI-260,CI-200-B,Select Batch,Final,500,,Select Steel Values,06 14 H 22,<3.250,<2.120,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.012,,,,,,,,,
,15-08-2022 17:58:40,CI-260,Item Not Found,Select Batch,Final,500,,Select Steel Values,06 14 H 22,3.250,2.120,0.652,0.055,0.081,0.081,0.026,0.087,0.001,0.010,0.002,4.012,,,,,,,,,
,15-08-2022 17:59:46,05 14 H 22,CI-200-B,Select Batch,Final,500,,Select Steel Values,SPX,<3.250,<2.120,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.012,,,,,,,,,
,15-08-2022 18:04:35,05 14 H 22,CI-200-B,Select Batch,Final,500,,Select Steel Values,SPX,<3.250,<2.120,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.012,,,,,,,,,
,15-08-2022 18:09:34,05 14 H 22,CI-200-B,Select Batch,Final,500,,Select Steel Values,SPX,<3.250,<2.120,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.012,,,,,,,,,
,15-08-2022 18:18:34,05 14 H 22,CI-200-B,Select Batch,Final,500,,Select Steel Values,SPX,<3.250,<2.120,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.012,,,,,,,,,
,15-08-2022 18:18:41,05 14 H 22,CI-200-B,Select Batch,Final,500,,Select Steel Values,SPX,<3.250,<2.120,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.012,,,,,,,,,
,16-08-2022 11:33:35,05 14 H 22,CI-200-B,Select Batch,Final,500,,Select Steel Values,SPX,<3.250,<2.120,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.012,,,,,,,,,
,16-08-2022 11:35:23,CI-260,CI-260-B,Select Batch,Final,500,,Select Steel Values,06 14 H 22,<3.250,<2.120,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.012,,,,,,,,,
,16-08-2022 11:40:01,CI-260,CI-260-B,Select Batch,Final,500,,Select Steel Values,06 14 H 22,<3.250,<2.120,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.012,,,,,,,,,
